paciente_endereco_nmMunicipio,paciente_endereco_uf,Qtd_Vacinas,Etiqueta_Classificacao
DIVINA PASTORA,SE,25,Baixa Vacinação
ccccccccccccccccccc,"",1,Baixa Vacinação
NATIVIDADE,TO,14,Baixa Vacinação
CONCHAS,SP,10703,Alta Vacinação
NUPORANGA,SP,4538,Alta Vacinação
GAURAMA,RS,10,Baixa Vacinação
SERRA DA SAUDADE,MG,3,Baixa Vacinação
CEDRO DO ABAETE,MG,1,Baixa Vacinação
LEOBERTO LEAL,SC,3,Baixa Vacinação
SOBRADINHO,DF,1,Baixa Vacinação
RINCAO,SP,6957,Alta Vacinação
TARABAI,SP,4091,Alta Vacinação
MORRO AGUDO,SP,19072,Alta Vacinação
RIO GRANDE DA SERRA - SP,"",1,Baixa Vacinação
SUZANAPOLIS,SP,2070,Alta Vacinação
ATILIO VIVACQUA,ES,16,Baixa Vacinação
CRUZEIRO DO IGUACU,PR,18,Baixa Vacinação
GASPAR,SC,557,Alta Vacinação
ARAPEI,SP,1243,Alta Vacinação
SAO SEBASTIAO DA VARGEM ALEGRE,MG,7,Baixa Vacinação
VIEIRAS,MG,26,Baixa Vacinação
BOM PRINCIPIO DO PIAUI,PI,25,Baixa Vacinação
GRUPIARA,MG,4,Baixa Vacinação
ITABAIANINHA,SE,646,Alta Vacinação
POMBAL,PB,861,Alta Vacinação
GUABIJU,RS,5,Baixa Vacinação
MORTUGABA,BA,1034,Alta Vacinação
NOVA PALMA,RS,13,Baixa Vacinação
REGISTRO,SP,41010,Alta Vacinação
BUJARI,AC,7,Baixa Vacinação
MOJI MIRIM,SP,55745,Alta Vacinação
TACARATU,PE,537,Alta Vacinação
TREVISO,SC,14,Baixa Vacinação
REBOUCAS,PR,18,Baixa Vacinação
CAICARA DO RIO DO VENTO,RN,6,Baixa Vacinação
AFUA,PA,15,Baixa Vacinação
MAGDA,SP,2218,Alta Vacinação
ORINDIUVA,SP,5016,Alta Vacinação
MAETINGA,BA,678,Alta Vacinação
PEROLANDIA,GO,5,Baixa Vacinação
NAZARE,TO,11,Baixa Vacinação
AGUAI,SP,19407,Alta Vacinação
ITABORAI,RJ,664,Alta Vacinação
MAJOR VIEIRA,SC,7,Baixa Vacinação
IVOLANDIA,GO,4,Baixa Vacinação
PEDRINOPOLIS,MG,26,Baixa Vacinação
PARAISOPOLIS,MG,1599,Alta Vacinação
IRACEMA,RR,11,Baixa Vacinação
TUPI PAULISTA,SP,13308,Alta Vacinação
NEVES PAULISTA,SP,6610,Alta Vacinação
MARIANOPOLIS DO TOCANTINS,TO,16,Baixa Vacinação
AROEIRAS DO ITAIM,PI,16,Baixa Vacinação
MIRASSOLANDIA,SP,4208,Alta Vacinação
AGUAS BELAS,PE,1296,Alta Vacinação
CAJURU,SP,15464,Alta Vacinação
MARACANAU,CE,1018,Alta Vacinação
MONTE SANTO,BA,2715,Alta Vacinação
GIRAU DO PONCIANO,AL,1220,Alta Vacinação
RIO DO FOGO,RN,22,Baixa Vacinação
IBIRITE,MG,521,Alta Vacinação
SINOP,MT,1335,Alta Vacinação
sao paulo,None,1,Baixa Vacinação
DOBRADA,SP,5595,Alta Vacinação
ITAUCU,GO,13,Baixa Vacinação
ARARAQUARA,SP,153645,Alta Vacinação
IPUEIRAS,TO,2,Baixa Vacinação
SAO BENTO DO UNA,PE,1080,Alta Vacinação
JARAGUARI,MS,25,Baixa Vacinação
Centro,MA,1,Baixa Vacinação
PAU D'ARCO,PA,15,Baixa Vacinação
PIRAJUI,SP,12856,Alta Vacinação
VILA VELHA,ES,2667,Alta Vacinação
LAURO DE FREITAS,BA,2438,Alta Vacinação
ITAMARATI DE MINAS,MG,22,Baixa Vacinação
ITAPEVI,SP,139555,Alta Vacinação
SAO LOURENCO DA MATA,PE,724,Alta Vacinação
CARINHANHA,BA,611,Alta Vacinação
DUAS BARRAS,RJ,10,Baixa Vacinação
ARARIPE,CE,889,Alta Vacinação
PINDORAMA,SP,10172,Alta Vacinação
BRAGANCA PAULISTA,SP,120901,Alta Vacinação
TAPAUA,AM,9,Baixa Vacinação
SANTA ROSA DE LIMA,SC,10,Baixa Vacinação
SANTA RITA DO SAPUCAI,MG,1405,Alta Vacinação
IBITINGA,SP,34132,Alta Vacinação
SAO MIGUEL DAS MISSOES,RS,15,Baixa Vacinação
CARANAIBA,MG,5,Baixa Vacinação
LAJE DO MURIAE,RJ,6,Baixa Vacinação
JUTAI,AM,13,Baixa Vacinação
LADAINHA,MG,924,Alta Vacinação
PINHAIS,PR,901,Alta Vacinação
SANTA RITA DO TOCANTINS,TO,6,Baixa Vacinação
BENTO FERNANDES,RN,8,Baixa Vacinação
GIRUA,RS,15,Baixa Vacinação
GARANHUNS,PE,2348,Alta Vacinação
ITALVA,RJ,22,Baixa Vacinação
PATROCINIO DO MURIAE,MG,13,Baixa Vacinação
ARCEBURGO,MG,849,Alta Vacinação
GUAJERU,BA,948,Alta Vacinação
FAZENDA NOVA,GO,7,Baixa Vacinação
SAO JOAO DAS DUAS PONTES,SP,2019,Alta Vacinação
CORGUINHO,MS,21,Baixa Vacinação
BACABAL,MA,538,Alta Vacinação
LINDOLFO COLLOR,RS,13,Baixa Vacinação
AVARE,SP,60154,Alta Vacinação
PEDRANOPOLIS,SP,1652,Alta Vacinação
SAO JOSE DA VARGINHA,MG,22,Baixa Vacinação
LARANJAL,PR,10,Baixa Vacinação
TAPIRAI,SP,4866,Alta Vacinação
QUIPAPA,PE,608,Alta Vacinação
ILHABELA,SP,21135,Alta Vacinação
LINHA NOVA,RS,1,Baixa Vacinação
PROGRESSO,RS,3,Baixa Vacinação
POCO VERDE,SE,689,Alta Vacinação
MUNDO NOVO,BA,793,Alta Vacinação
NOVO ITACOLOMI,PR,18,Baixa Vacinação
DIVINOPOLIS,MG,1312,Alta Vacinação
PIRATINI,RS,12,Baixa Vacinação
MOMBUCA,SP,2707,Alta Vacinação
CALDAS BRANDAO,PB,15,Baixa Vacinação
EDEALINA,GO,7,Baixa Vacinação
SANTOS,"",1,Baixa Vacinação
PORTO DO MANGUE,RN,14,Baixa Vacinação
SAO SEBASTIAO,AL,951,Alta Vacinação
MULITERNO,RS,5,Baixa Vacinação
CHAPECO,SC,1138,Alta Vacinação
FEIJO,AC,25,Baixa Vacinação
ITABAIANA,SE,556,Alta Vacinação
PORECATU,PR,535,Alta Vacinação
AGUA SANTA,RS,4,Baixa Vacinação
SANTA BARBARA DE GOIAS,GO,12,Baixa Vacinação
SAO JOSE DO HORTENCIO,RS,4,Baixa Vacinação
MANARI,PE,505,Alta Vacinação
SAO JOAO DA PONTA,PA,11,Baixa Vacinação
PEREIRO,CE,764,Alta Vacinação
SEM-PEIXE,MG,20,Baixa Vacinação
CRATEUS,CE,1817,Alta Vacinação
SANTA MARIA,RS,863,Alta Vacinação
PAU D'ARCO,TO,11,Baixa Vacinação
AGUAS DE SAO PEDRO,SP,3057,Alta Vacinação
PASSOS,MG,3584,Alta Vacinação
LUTECIA,SP,1625,Alta Vacinação
TEOFILANDIA,BA,1099,Alta Vacinação
NATAL,RN,6443,Alta Vacinação
LUIZIANIA,SP,2734,Alta Vacinação
PARATINGA,BA,1431,Alta Vacinação
RIBEIRA,SP,2061,Alta Vacinação
ITABUNA,BA,5905,Alta Vacinação
NOVO BARREIRO,RS,5,Baixa Vacinação
ITAJAI,SC,2321,Alta Vacinação
BRAGA,RS,9,Baixa Vacinação
CALCOENE,AP,10,Baixa Vacinação
BOFETE,SP,7610,Alta Vacinação
SAO SEBASTIAO DO ALTO,RJ,9,Baixa Vacinação
SANTA ERNESTINA,SP,3740,Alta Vacinação
MACAJUBA,BA,883,Alta Vacinação
VOTUPORANGA,SP,58124,Alta Vacinação
ITARARE,SP,31216,Alta Vacinação
BIQUINHAS,MG,3,Baixa Vacinação
PALMAS DE MONTE ALTO,BA,545,Alta Vacinação
PATOS,PB,1370,Alta Vacinação
ASSIS,SP,63276,Alta Vacinação
PEDRA BONITA,MG,10,Baixa Vacinação
SAO BENTO DO TRAIRI,RN,15,Baixa Vacinação
ENTRE RIOS DO OESTE,PR,11,Baixa Vacinação
MARILIA,None,1,Baixa Vacinação
EMBU,"",2,Baixa Vacinação
LAMIM,MG,7,Baixa Vacinação
POTIM,SP,10200,Alta Vacinação
SARUTAIA,SP,2651,Alta Vacinação
PEDRA DO INDAIA,MG,17,Baixa Vacinação
BLUMENAU,SC,2496,Alta Vacinação
BELA CRUZ,CE,766,Alta Vacinação
PONTE PRETA,RS,3,Baixa Vacinação
QUEIMADAS,BA,1021,Alta Vacinação
AMATURA,AM,7,Baixa Vacinação
SANTAREM,PA,722,Alta Vacinação
QUEIROZ,SP,1565,Alta Vacinação
AGROLANDIA,SC,15,Baixa Vacinação
ITUPEVA,SP,36368,Alta Vacinação
RIO CLARO,SP,122063,Alta Vacinação
IPATINGA,MG,1837,Alta Vacinação
PEROLA D'OESTE,PR,18,Baixa Vacinação
SERRANOPOLIS DO IGUACU,PR,16,Baixa Vacinação
CESARIO LANGE,SP,11219,Alta Vacinação
CIPO,BA,731,Alta Vacinação
CAICARA DO NORTE,RN,16,Baixa Vacinação
CORREGO FUNDO,MG,23,Baixa Vacinação
SAO JOSE DO RIO PARDO,SP,37468,Alta Vacinação
SAO JOAO DO PARAISO,MG,1115,Alta Vacinação
CANARANA,BA,812,Alta Vacinação
BROTAS,SP,13867,Alta Vacinação
LAVINIA,SP,4409,Alta Vacinação
CASEIROS,RS,6,Baixa Vacinação
CAMPOS VERDES,GO,20,Baixa Vacinação
SAO JOAO DO OESTE,SC,21,Baixa Vacinação
CEDRO,CE,736,Alta Vacinação
NOVO JARDIM,TO,2,Baixa Vacinação
SALGADO FILHO,PR,24,Baixa Vacinação
URANIA,SP,6823,Alta Vacinação
BALNEARIO PINHAL,RS,18,Baixa Vacinação
PONTA GROSSA,PR,1953,Alta Vacinação
BARRA DO CORDA,MA,646,Alta Vacinação
NOVO HORIZONTE,SC,3,Baixa Vacinação
PALMA,MG,23,Baixa Vacinação
BOQUEIRAO DO LEAO,RS,2,Baixa Vacinação
TRES CORACOES,MG,1337,Alta Vacinação
CRISSIUMAL,RS,25,Baixa Vacinação
LOURDES,SP,1597,Alta Vacinação
GUAXUPE,MG,2420,Alta Vacinação
PIRACAIA,SP,18204,Alta Vacinação
ITAGIBA,BA,940,Alta Vacinação
CAROEBE,RR,17,Baixa Vacinação
TEIXEIRA DE FREITAS,BA,2060,Alta Vacinação
PRESIDENTE NEREU,SC,2,Baixa Vacinação
CAMPO BELO DO SUL,SC,12,Baixa Vacinação
AGUAS DE SANTA BARBARA,SP,5037,Alta Vacinação
MACHADINHO,RS,11,Baixa Vacinação
VILA NOVA DO SUL,RS,3,Baixa Vacinação
CAMBUCI,RJ,24,Baixa Vacinação
itaquaquecetuba,None,1,Baixa Vacinação
CORONEL MARTINS,SC,2,Baixa Vacinação
TURIUBA,SP,1791,Alta Vacinação
GUANAMBI,BA,1875,Alta Vacinação
SANTA BARBARA DO MONTE VERDE,MG,10,Baixa Vacinação
SAO MIGUEL DO PASSA QUATRO,GO,5,Baixa Vacinação
SANTA BARBARA DO SUL,RS,16,Baixa Vacinação
CRISTALANDIA DO PIAUI,PI,8,Baixa Vacinação
CAMPO ALEGRE DE LOURDES,BA,1488,Alta Vacinação
BRUMADO,BA,1322,Alta Vacinação
SOBRAL,CE,845,Alta Vacinação
NORMANDIA,RR,10,Baixa Vacinação
ITAPEVA,SP,69943,Alta Vacinação
APARECIDA,SP,21687,Alta Vacinação
VARZELANDIA,MG,1180,Alta Vacinação
MINEIROS DO TIETE,SP,7796,Alta Vacinação
EXTERIOR,None,1,Baixa Vacinação
VILA LANGARO,RS,4,Baixa Vacinação
ARGIRITA,MG,14,Baixa Vacinação
ATALANTA,SC,7,Baixa Vacinação
JANUARIA,MG,1544,Alta Vacinação
BOM JESUS DOS PERDOES,SP,12691,Alta Vacinação
ANAPURUS,MA,24,Baixa Vacinação
SUZANO SP,None,1,Baixa Vacinação
RANCHO QUEIMADO,SC,12,Baixa Vacinação
RIACHO DE SANTO ANTONIO,PB,7,Baixa Vacinação
BAIXA GRANDE,BA,660,Alta Vacinação
ACRELANDIA,"",3,Baixa Vacinação
SANCLERLANDIA,GO,9,Baixa Vacinação
IBIPEBA,BA,564,Alta Vacinação
CARAI,MG,535,Alta Vacinação
AREALVA,SP,5361,Alta Vacinação
REGENERACAO,PI,562,Alta Vacinação
CURUA,PA,13,Baixa Vacinação
CAPIM GROSSO,BA,1035,Alta Vacinação
JUCAS,CE,505,Alta Vacinação
MATO RICO,PR,10,Baixa Vacinação
LUIS DOMINGUES,MA,8,Baixa Vacinação
CATURITE,PB,16,Baixa Vacinação
CARLOPOLIS,PR,533,Alta Vacinação
TIGRINHOS,SC,3,Baixa Vacinação
CABO FRIO,RJ,724,Alta Vacinação
MARTINOPOLIS,SP,15923,Alta Vacinação
ERVAL SECO,RS,10,Baixa Vacinação
SANTA ISABEL,GO,6,Baixa Vacinação
TEODORO SAMPAIO,SP,14166,Alta Vacinação
LAJES PINTADAS,RN,16,Baixa Vacinação
CHAPADA,RS,20,Baixa Vacinação
LUPERCIO,SP,2911,Alta Vacinação
SANTO ANTONIO DO AVENTUREIRO,MG,14,Baixa Vacinação
TABIRA,PE,680,Alta Vacinação
SAO VALERIO,TO,20,Baixa Vacinação
SAO MATEUS DO MARANHAO,MA,813,Alta Vacinação
BODO,RN,9,Baixa Vacinação
MIGUEL CALMON,BA,814,Alta Vacinação
FERRAZ DE VASCONCELOS,SP,95327,Alta Vacinação
NORDESTINA,BA,888,Alta Vacinação
PARANOA,DF,1,Baixa Vacinação
COLINA,SP,10785,Alta Vacinação
DOM BOSCO,MG,10,Baixa Vacinação
IRACEMAPOLIS,SP,13932,Alta Vacinação
REDENTORA,RS,6,Baixa Vacinação
TARTARUGALZINHO,AP,9,Baixa Vacinação
DORESOPOLIS,MG,13,Baixa Vacinação
SAO PEDRO DOS CRENTES,MA,2,Baixa Vacinação
ALPESTRE,RS,7,Baixa Vacinação
CAPELA DE SANTANA,RS,14,Baixa Vacinação
ALFREDO WAGNER,SC,8,Baixa Vacinação
SAO SEBASTIAO,SP,40576,Alta Vacinação
AMERICO BRASILIENSE,SP,23658,Alta Vacinação
CAMPO LIMPO DE GOIAS,GO,23,Baixa Vacinação
SALTO GRANDE,SP,5527,Alta Vacinação
SAO BERNARDO DO CAMPO,SP,534888,Alta Vacinação
PELOTAS,RS,869,Alta Vacinação
RIO DAS OSTRAS,RJ,837,Alta Vacinação
SAO MIGUEL,RN,1137,Alta Vacinação
OURINHOS,None,1,Baixa Vacinação
CONSELHEIRO LAFAIETE,MG,721,Alta Vacinação
PARANAVAI,PR,1105,Alta Vacinação
SAO JOAO DO PIAUI,PI,857,Alta Vacinação
FARIA LEMOS,MG,10,Baixa Vacinação
COROADOS,SP,2999,Alta Vacinação
GALIA,SP,5039,Alta Vacinação
BRAUNA,SP,2844,Alta Vacinação
JUAZEIRO DO NORTE,CE,3334,Alta Vacinação
BURITI ALEGRE,GO,25,Baixa Vacinação
POLONI,SP,4377,Alta Vacinação
ITAPORANGA,PB,702,Alta Vacinação
SANTO ANTONIO DE JESUS,BA,528,Alta Vacinação
CARUARU,PE,2319,Alta Vacinação
PEDRAO,BA,23,Baixa Vacinação
BONINAL,BA,1286,Alta Vacinação
SAO TOMAS DE AQUINO,MG,617,Alta Vacinação
PRESIDENTE KENNEDY,TO,14,Baixa Vacinação
ARIRANHA DO IVAI,PR,14,Baixa Vacinação
SAO LUIS,MA,7605,Alta Vacinação
MOCOCA,"",2,Baixa Vacinação
PORTO REAL DO COLEGIO,AL,547,Alta Vacinação
CRISTALANDIA,TO,22,Baixa Vacinação
CELSO RAMOS,SC,7,Baixa Vacinação
SANTA RITA D'OESTE,SP,1891,Alta Vacinação
BUIQUE,PE,1950,Alta Vacinação
BARBACENA,MG,932,Alta Vacinação
MARABA PAULISTA,SP,2829,Alta Vacinação
ITATIAIA,RJ,547,Alta Vacinação
NANTES,SP,2973,Alta Vacinação
CRUCILANDIA,MG,9,Baixa Vacinação
SAO NICOLAU,RS,6,Baixa Vacinação
SAO CAITANO,PE,666,Alta Vacinação
EMBU DAS ARTES - SP,"",1,Baixa Vacinação
IRACEMA,CE,502,Alta Vacinação
SAO JOSE DO EGITO,PE,938,Alta Vacinação
MARINOPOLIS,SP,1689,Alta Vacinação
LAGES,SC,555,Alta Vacinação
SAPUCAI-MIRIM,MG,580,Alta Vacinação
NAZARIO,GO,13,Baixa Vacinação
CARAIBAS,BA,516,Alta Vacinação
NIPOA,SP,3338,Alta Vacinação
LIMOEIRO,PE,1013,Alta Vacinação
OURO VERDE,SC,5,Baixa Vacinação
MARLIERIA,MG,24,Baixa Vacinação
CAEM,BA,529,Alta Vacinação
ITAQUAQUECETUBA,SP,186476,Alta Vacinação
CAPAO BONITO DO SUL,RS,3,Baixa Vacinação
PINHALZINHO,SP,9364,Alta Vacinação
TUPIRAMA,TO,6,Baixa Vacinação
CONCEICAO DO TOCANTINS,TO,12,Baixa Vacinação
GUARANI D'OESTE,SP,1963,Alta Vacinação
ITAGUARU,GO,12,Baixa Vacinação
SANTA CRUZ DA CONCEICAO,SP,3413,Alta Vacinação
JAPARAIBA,MG,11,Baixa Vacinação
EWBANK DA CAMARA,MG,25,Baixa Vacinação
SAO LEOPOLDO,RS,674,Alta Vacinação
IACU,BA,1252,Alta Vacinação
JOSE BONIFACIO,SP,24138,Alta Vacinação
SANTANA DA BOA VISTA,RS,4,Baixa Vacinação
CUTIAS,AP,5,Baixa Vacinação
COLORADO,PR,664,Alta Vacinação
PALESTINA DE GOIAS,GO,6,Baixa Vacinação
MIRASSOL,SP,32806,Alta Vacinação
NOVA SANTA ROSA,PR,12,Baixa Vacinação
TOMAR DO GERU,SE,679,Alta Vacinação
EMILIANOPOLIS,SP,2644,Alta Vacinação
SAO ROQUE,SP,60820,Alta Vacinação
ARAGUAPAZ,GO,13,Baixa Vacinação
CAMPO GRANDE,MS,13479,Alta Vacinação
OUROESTE,SP,7506,Alta Vacinação
SAO FRANCISCO,SP,2087,Alta Vacinação
GLORINHA,RS,13,Baixa Vacinação
CONCEICAO DAS ALAGOAS,MG,872,Alta Vacinação
RAFAEL JAMBEIRO,BA,1063,Alta Vacinação
ASPASIA,SP,1518,Alta Vacinação
SAO PEDRO DA SERRA,RS,2,Baixa Vacinação
MUCUM,RS,9,Baixa Vacinação
SITIO D'ABADIA,GO,2,Baixa Vacinação
ALTO BELA VISTA,SC,2,Baixa Vacinação
GOIOXIM,PR,5,Baixa Vacinação
OURO,SC,16,Baixa Vacinação
BOA VISTA DO CADEADO,RS,1,Baixa Vacinação
PERUIBE,SP,34981,Alta Vacinação
UBATA,BA,856,Alta Vacinação
PARAGUACU PAULISTA,SP,26939,Alta Vacinação
CASSILANDIA,MS,776,Alta Vacinação
PAVERAMA,RS,9,Baixa Vacinação
CASA BRANCA,SP,16401,Alta Vacinação
MILAGRES DO MARANHAO,MA,25,Baixa Vacinação
ITARANA,ES,19,Baixa Vacinação
LAMBARI,MG,657,Alta Vacinação
PAINEIRAS,MG,13,Baixa Vacinação
alba,SP,1,Baixa Vacinação
EMBU-GUACU,SP,47213,Alta Vacinação
PIATA,BA,1427,Alta Vacinação
TEJUPA,SP,2683,Alta Vacinação
PRIMAVERA DE RONDONIA,RO,13,Baixa Vacinação
CABRALIA PAULISTA,SP,2818,Alta Vacinação
SANTO ANTONIO DO RIO ABAIXO,MG,15,Baixa Vacinação
GENTIL,RS,8,Baixa Vacinação
BARRA,BA,1366,Alta Vacinação
VITOR MEIRELES,SC,8,Baixa Vacinação
BARCARENA,PA,574,Alta Vacinação
BUENO BRANDAO,MG,630,Alta Vacinação
SUMIDOURO,RJ,16,Baixa Vacinação
BOA ESPERANCA,MG,824,Alta Vacinação
FRANCISCO BADARO,MG,1014,Alta Vacinação
CACERES,MT,500,Alta Vacinação
UBARANA,SP,3533,Alta Vacinação
ITACURUBA,PE,16,Baixa Vacinação
AVELINOPOLIS,GO,6,Baixa Vacinação
TERESINA,PI,7276,Alta Vacinação
BURITIZAL,SP,2354,Alta Vacinação
PICOS,PI,1627,Alta Vacinação
PARAISO,SP,3326,Alta Vacinação
JI-PARANA,RO,760,Alta Vacinação
ASCURRA,SC,21,Baixa Vacinação
PLANALTO,BA,1220,Alta Vacinação
AGUAS FRIAS,SC,4,Baixa Vacinação
JARDIM,CE,553,Alta Vacinação
SANTA LEOPOLDINA,ES,20,Baixa Vacinação
ICO,CE,2433,Alta Vacinação
SALESOPOLIS,SP,10727,Alta Vacinação
VITORINO,PR,22,Baixa Vacinação
BIAS FORTES,MG,10,Baixa Vacinação
CRICIUMA,SC,815,Alta Vacinação
ITIRAPUA,SP,4113,Alta Vacinação
RIACHAO DO POCO,PB,16,Baixa Vacinação
FLORINIA,SP,3665,Alta Vacinação
SANTAREM NOVO,PA,15,Baixa Vacinação
ANAGE,BA,970,Alta Vacinação
SAO JOSE DAS MISSOES,RS,7,Baixa Vacinação
FORMOSA DO SUL,SC,2,Baixa Vacinação
FIGUEIROPOLIS,TO,20,Baixa Vacinação
SAO CAETANO DO SUL,SP,118324,Alta Vacinação
ANITA GARIBALDI,SC,8,Baixa Vacinação
CABACEIRAS DO PARAGUACU,BA,749,Alta Vacinação
TAQUARANA,AL,981,Alta Vacinação
GUARANTA,SP,4237,Alta Vacinação
CORREGO DO OURO,GO,4,Baixa Vacinação
CENTRO,"",1,Baixa Vacinação
SAO JOSE DOS RAMOS,PB,21,Baixa Vacinação
PEDRA BRANCA,CE,2456,Alta Vacinação
GUAPIACU,SP,12411,Alta Vacinação
PALMEIRAS DO TOCANTINS,TO,21,Baixa Vacinação
CAIUA,SP,2525,Alta Vacinação
ITAPEMA,SC,790,Alta Vacinação
SERTAOZINHO,SP,77909,Alta Vacinação
UIRAUNA,PB,599,Alta Vacinação
BELO CAMPO,BA,1204,Alta Vacinação
IPOJUCA,PE,636,Alta Vacinação
SAO JOSE DA TAPERA,AL,1128,Alta Vacinação
CANITAR,SP,3349,Alta Vacinação
LAJEADO NOVO,MA,15,Baixa Vacinação
ROLADOR,RS,1,Baixa Vacinação
IPORANGA,SP,2069,Alta Vacinação
PARDINHO,SP,5050,Alta Vacinação
JUARINA,TO,13,Baixa Vacinação
CRATO,CE,1611,Alta Vacinação
SANTA RITA DO ITUETO,MG,8,Baixa Vacinação
CORREGO DANTA,MG,19,Baixa Vacinação
CAMPOS DO JORDAO - SP,None,1,Baixa Vacinação
GILBERTO MELLO FREITAS,"",1,Baixa Vacinação
SELBACH,RS,7,Baixa Vacinação
VITORIA BRASIL,SP,1248,Alta Vacinação
GUARANI DE GOIAS,GO,2,Baixa Vacinação
MACAUBAL,SP,5267,Alta Vacinação
OURINHOS,SP,59812,Alta Vacinação
MIRIM DOCE,SC,5,Baixa Vacinação
Valentim  gentil,"",1,Baixa Vacinação
SAO JOAO DA PONTE,MG,583,Alta Vacinação
JARINU,SP,21700,Alta Vacinação
MUQUI,ES,17,Baixa Vacinação
EMBU DAS ARTES,SP,187485,Alta Vacinação
BOM JESUS DA LAPA,BA,1439,Alta Vacinação
NOVA ESPERANCA DO SUDOESTE,PR,17,Baixa Vacinação
IPIXUNA,AM,5,Baixa Vacinação
ARACAI,MG,6,Baixa Vacinação
NATIVIDADE DA SERRA,SP,3389,Alta Vacinação
RIO DOCE,MG,16,Baixa Vacinação
PAULA FREITAS,PR,23,Baixa Vacinação
SUZANO SP,"",1,Baixa Vacinação
ALEGRIA,RS,4,Baixa Vacinação
JUIZ DE FORA,MG,4261,Alta Vacinação
CASA GRANDE,MG,1,Baixa Vacinação
BOTUPORA,BA,822,Alta Vacinação
CACHOEIRA DO ARARI,PA,13,Baixa Vacinação
RIBEIRAO BONITO,SP,7025,Alta Vacinação
MENDONCA,SP,4826,Alta Vacinação
PATROCINIO,MG,935,Alta Vacinação
JACI,SP,5705,Alta Vacinação
ANGICAL,BA,23,Baixa Vacinação
SAO DOMINGOS,SC,18,Baixa Vacinação
MURUTINGA DO SUL,SP,3244,Alta Vacinação
PONTAL,SP,27287,Alta Vacinação
TABATINGA,SP,10234,Alta Vacinação
ARARAS,SP,78189,Alta Vacinação
BOA VISTA,RR,3585,Alta Vacinação
LUCAS DO RIO VERDE,MT,941,Alta Vacinação
VILHENA,RO,564,Alta Vacinação
SANTA MERCEDES,SP,2368,Alta Vacinação
SANANDUVA,RS,22,Baixa Vacinação
CAPOEIRAS,PE,705,Alta Vacinação
COQUEIROS DO SUL,RS,1,Baixa Vacinação
FOZ DO IGUACU,PR,3045,Alta Vacinação
SELVIRIA,MS,587,Alta Vacinação
OURO BRANCO,AL,578,Alta Vacinação
BARBALHA,CE,1109,Alta Vacinação
OURICURI,PE,1122,Alta Vacinação
MARCELINO RAMOS,RS,8,Baixa Vacinação
BELMIRO BRAGA,MG,7,Baixa Vacinação
IARAS,SP,3538,Alta Vacinação
GOIANORTE,TO,10,Baixa Vacinação
PARAISO DO SUL,RS,3,Baixa Vacinação
NOVA BRESCIA,RS,19,Baixa Vacinação
DUERE,TO,10,Baixa Vacinação
SAO MIGUEL ARCANJO,SP,21357,Alta Vacinação
SALOA,PE,554,Alta Vacinação
IRAQUARA,BA,1060,Alta Vacinação
ANDORINHA,BA,536,Alta Vacinação
carapicuiba,None,1,Baixa Vacinação
ARENOPOLIS,GO,4,Baixa Vacinação
ROCA SALES,RS,23,Baixa Vacinação
BOA VISTA DO BURICA,RS,9,Baixa Vacinação
SIMAO PEREIRA,MG,23,Baixa Vacinação
CAETES,PE,1000,Alta Vacinação
NOVA BOA VISTA,RS,1,Baixa Vacinação
ARAGUACEMA,TO,13,Baixa Vacinação
NOVO ARIPUANA,AM,13,Baixa Vacinação
COELHO NETO,MA,700,Alta Vacinação
SANTA CRUZ DO ARARI,PA,2,Baixa Vacinação
ARACI,BA,2948,Alta Vacinação
PRESIDENTE EPITACIO,SP,23502,Alta Vacinação
GRAO PARA,SC,23,Baixa Vacinação
MARECHAL THAUMATURGO,AC,15,Baixa Vacinação
QUEVEDOS,RS,1,Baixa Vacinação
MOCOCA,SP,45932,Alta Vacinação
PAULO AFONSO,BA,2711,Alta Vacinação
PARANAIBA,MS,1262,Alta Vacinação
INDAIATUBA,SP,171068,Alta Vacinação
AGUAS DE LINDOIA,SP,9510,Alta Vacinação
GOIABEIRA,MG,15,Baixa Vacinação
CRISTIANO OTONI,MG,10,Baixa Vacinação
CODO,MA,1404,Alta Vacinação
BOA ESPERANCA DO SUL,SP,8693,Alta Vacinação
NOVAIS,SP,2202,Alta Vacinação
ARARICA,RS,2,Baixa Vacinação
TELEMACO BORBA,PR,612,Alta Vacinação
MERIDIANO,SP,3399,Alta Vacinação
TAQUARIVAI,SP,4012,Alta Vacinação
DONA EMMA,SC,2,Baixa Vacinação
BOM JARDIM DA SERRA,SC,8,Baixa Vacinação
INUBIA PAULISTA,SP,2810,Alta Vacinação
SAO LOURENCO DA SERRA,SP,9363,Alta Vacinação
CONCHAL,SP,20100,Alta Vacinação
CAPITAO,RS,2,Baixa Vacinação
CANDIDO SALES,BA,1203,Alta Vacinação
AREIA DE BARAUNAS,PB,19,Baixa Vacinação
RIANAPOLIS,GO,18,Baixa Vacinação
SAO JOAO DA BOA VISTA,SP,56058,Alta Vacinação
